session,final_neurons,keep,delete,motion
Valence\AVG2x-TSeries-11282023-963-505um-450um-3z-000A,51,27,339,
Valence\AVG2x-TSeries-11282023-963-505um-450um-3z-000B,57,25,334,
Valence\AVG2x-TSeries-11302023-931-403um-343um-32z-000A,16,9,454,
Valence\AVG2x-TSeries-11302023-931-403um-343um-32z-000B,12,9,401,
Valence\AVG2x-TSeries-120723-920-633um-570um-27z-000A,23,11,360,
Valence\AVG2x-TSeries-120723-920-633um-570um-27z-000B,15,9,438,
Valence\AVG2x-TSeries-120723-961-410um-350um-32z-000A,30,15,511,
Valence\AVG2x-TSeries-120723-961-410um-350um-32z-000B,5,4,987,
Valence\AVG2x-TSeries-120723-964-505um-445um-31z-000A,34,13,367,
Valence\AVG2x-TSeries-120723-964-505um-445um-31z-000B,26,14,306,
Valence\AVG2x-TSeries-12082023-962-507um-467um-23z-000A,213,115,755,
Valence\AVG2x-TSeries-12082023-962-507um-467um-23z-000B,282,177,760,
Valence\AVG2x-TSeries-12082023-963-520um-470um-27z-000A,72,34,372,
Valence\AVG2x-TSeries-12082023-963-520um-470um-27z-000B,70,33,338,
VSA\AVG8x-TSeries-08092022-100-375um-3z-003,14,,,
VSA\AVG8x-TSeries-08092022-94-510um-3z-002,21,10,384,
VSA\AVG8x-TSeries-08152022-100-375-3z-003,14,6,459,
VSA\AVG8x-TSeries-08162022-94-500-3z-006,17,7,379,
VSA\AVG8x-TSeries-08222022-104-400-3z-005,25,,,
VSA\AVG8x-TSeries-08222022-98-430-33z-004,27,,,
VSA\AVG8x-TSeries-08222022-99-290-35z-003,32,,,
VSA\AVG8x-TSeries-08282022-104-387um-26z-000,21,7,508,
VSA\AVG8x-TSeries-08282022-98-431um-33z-000,21,8,498,
VSA\AVG8x-TSeries-08282022-99-293um-35z-000,28,10,376,
