session,final_neurons,keep,delete,motion
CTA\AVG5x-TSeries-09262025-bla15-234um-33z-000,64,46,466,
Valence\AVG5x-TSeries-02062025-bla5-515um-25z-000,50,38,203,
Valence\AVG5x-TSeries-02062025-bla6-745um-3z-000,20,,,
Valence\AVG5x-TSeries-02072025-bla5-596um-25z-000,61,38,209,
Valence\AVG5x-TSeries-02072025-bla6-745um-3z-000,18,6,203,
Valence\AVG5x-TSeries-07152025-bla13-675um-25z-000,39,16,208,
Valence\AVG5x-TSeries-07152025-bla14-818um-25z-000,61,14,126,
Valence\AVG5x-TSeries-07152025-bla15-228um-38z-000,56,38,422,
Valence\AVG5x-TSeries-07162025-bla14-837um-25z-000,41,12,146,
Valence\AVG5x-TSeries-07162025-bla15-246um-38z-000,55,35,299,
Valence\AVG5x-TSeries-121125-bla16-233um-36z-000,20,12,338,
Valence\AVG5x-TSeries-121125-bla8-652um-25z-000,52,14,378,
Valence\AVG5x-TSeries-121225-bla12-652um-23z-000,66,66,84,
Valence\AVG5x-TSeries-121225-bla12-652um-23z-000\_bootstrap_validate,462,,,
WSE\AVG5x-TSeries-06072025-bla13-635um-27z-000,38,28,360,
WSE\AVG5x-TSeries-06072025-bla14-795um-28z-000,43,14,90,
WSE\AVG5x-TSeries-06072025-bla15-199um-45z-000,40,20,518,
WSE\AVG5x-TSeries-060825-bla13-588um-27z-000,44,35,612,
WSE\AVG5x-TSeries-060825-bla14-775um-28z-000,44,20,154,
WSE\AVG5x-TSeries-060825-bla15-175um-45z-000,24,19,686,
